iter,model,coef,estimate
73,poisson,effect::Cleanup,0.00454121595428415
73,poisson,effect::Threat,0.00303017664396677
73,poisson,effect::Impact,-0.000704332987894304
74,logit,effect::Cleanup,-0.00919282524720817
74,logit,effect::Threat,0.00300785257880845
74,logit,effect::Impact,0.0091260435308583
74,poisson,effect::Cleanup,0.00278407804389246
74,poisson,effect::Threat,0.00629209318127519
74,poisson,effect::Impact,-0.00121404970221964
75,logit,effect::Cleanup,-0.059125588262322
75,logit,effect::Threat,-0.027228442400092
75,logit,effect::Impact,-0.0662649940516362
75,poisson,effect::Cleanup,0.00458471621512052
75,poisson,effect::Threat,0.00424934603772263
75,poisson,effect::Impact,0.00639301360739018
76,logit,effect::Cleanup,-0.00388211302010542
76,logit,effect::Threat,-0.0452029004381193
76,logit,effect::Impact,-0.0739731296039844
76,poisson,effect::Cleanup,0.00296027863098892
76,poisson,effect::Threat,0.00243459335721507
76,poisson,effect::Impact,0.00438819699052698
77,logit,effect::Cleanup,-0.0214375324447244
77,logit,effect::Threat,-0.00357963526111214
77,logit,effect::Impact,0.0115525753272678
77,poisson,effect::Cleanup,0.00537995683348232
77,poisson,effect::Threat,0.00424530026823573
77,poisson,effect::Impact,0.00571819621538709
78,logit,effect::Cleanup,-0.0438955352191541
78,logit,effect::Threat,-0.0170620532652432
78,logit,effect::Impact,-0.110250419455602
78,poisson,effect::Cleanup,0.00466870113222498
78,poisson,effect::Threat,0.00432900093446863
78,poisson,effect::Impact,0.0062132296203046
79,logit,effect::Cleanup,-0.0459030107346059
79,logit,effect::Threat,-0.0217042902023796
79,logit,effect::Impact,-0.0113912996253778
79,poisson,effect::Cleanup,0.00459224357414971
79,poisson,effect::Threat,0.00368054154237487
79,poisson,effect::Impact,0.00457866161188701
80,logit,effect::Cleanup,-0.0716911907483978
80,logit,effect::Threat,-0.0276923050093748
80,logit,effect::Impact,0.0566743728027362
80,poisson,effect::Cleanup,0.00492913655199324
80,poisson,effect::Threat,0.00495456278791292
80,poisson,effect::Impact,0.000174474811938185
81,logit,effect::Cleanup,-0.0189888828407484
81,logit,effect::Threat,-0.0318741841807044
81,logit,effect::Impact,-0.0463958013344038
81,poisson,effect::Cleanup,0.00340620877420289
81,poisson,effect::Threat,0.00485625560420645
81,poisson,effect::Impact,0.00698021724730886
82,logit,effect::Cleanup,0.0125113211438057
82,logit,effect::Threat,-0.0735736686340127
82,logit,effect::Impact,0.0966119516623798
82,poisson,effect::Cleanup,0.00564519189374888
82,poisson,effect::Threat,0.00502776368063123
82,poisson,effect::Impact,0.00625914906474513
83,logit,effect::Cleanup,-0.00706099790227922
83,logit,effect::Threat,-0.0137071300754778
83,logit,effect::Impact,-0.0436288443715058
83,poisson,effect::Cleanup,0.00439035090126264
83,poisson,effect::Threat,0.00360832928314533
83,poisson,effect::Impact,0.00581335628147494
84,logit,effect::Cleanup,-0.0120572004230116
84,logit,effect::Threat,-0.0289728350879252
84,logit,effect::Impact,0.0407747469394983
84,poisson,effect::Cleanup,0.00484131453296182
84,poisson,effect::Threat,0.00600429973827238
84,poisson,effect::Impact,0.00716042288329898
85,logit,effect::Cleanup,-0.0360068825935959
85,logit,effect::Threat,0.0123164409249665
85,logit,effect::Impact,-0.0774673469819542
85,poisson,effect::Cleanup,0.00370564980703898
85,poisson,effect::Threat,0.00345837323025459
85,poisson,effect::Impact,0.00320701006308575
86,logit,effect::Cleanup,0.00569439037198039
86,logit,effect::Threat,-9.78746083571795e-05
86,logit,effect::Impact,-0.017300587582359
86,poisson,effect::Cleanup,0.00229352025728737
86,poisson,effect::Threat,0.00266100205945262
86,poisson,effect::Impact,0.00143570350464568
87,logit,effect::Cleanup,-0.0292186625961169
87,logit,effect::Threat,-0.0356352811336277
87,logit,effect::Impact,0.0737822645168616
87,poisson,effect::Cleanup,0.00237821010817946
87,poisson,effect::Threat,0.00395909682886783
87,poisson,effect::Impact,0.0023577206130411
88,logit,effect::Cleanup,-0.00930670182572718
88,logit,effect::Threat,-0.00400370213538009
88,logit,effect::Impact,-0.111224341393185
88,poisson,effect::Cleanup,0.00405288091712679
88,poisson,effect::Threat,0.00263138378576044
88,poisson,effect::Impact,0.00121675027558211
89,logit,effect::Cleanup,0.00917219539880483
89,logit,effect::Threat,0.0451465493561554
89,logit,effect::Impact,-0.0340068680252573
89,poisson,effect::Cleanup,0.00355764080276698
89,poisson,effect::Threat,0.00419433954036599
89,poisson,effect::Impact,0.00408069890755498
90,logit,effect::Cleanup,-0.00591728697408438
90,logit,effect::Threat,-0.0280352481792501
90,logit,effect::Impact,-0.0777855855731372
90,poisson,effect::Cleanup,0.00352938159058805
90,poisson,effect::Threat,0.00480958027619964
90,poisson,effect::Impact,0.000324429053114784
91,logit,effect::Cleanup,-0.0115008354593739
91,logit,effect::Threat,-0.0439529219275047
91,logit,effect::Impact,0.0436910033914372
91,poisson,effect::Cleanup,0.00348127985914172
91,poisson,effect::Threat,0.00439068603528541
91,poisson,effect::Impact,0.00315956891663079
92,logit,effect::Cleanup,-0.000597112301401243
92,logit,effect::Threat,-0.0282230327798286
92,logit,effect::Impact,-0.0432480085530745
92,poisson,effect::Cleanup,0.00428961955245186
92,poisson,effect::Threat,0.00598579718995296
92,poisson,effect::Impact,0.00395002405724796
93,logit,effect::Cleanup,-0.0389251681580282
93,logit,effect::Threat,0.0177777714342056
93,logit,effect::Impact,0.0294163280496212
93,poisson,effect::Cleanup,0.00463722975652228
93,poisson,effect::Threat,0.00384492099619868
93,poisson,effect::Impact,0.00467257103020071
94,logit,effect::Cleanup,-0.0396653962708086
94,logit,effect::Threat,-0.00399954229794403
94,logit,effect::Impact,0.0400037645582639
94,poisson,effect::Cleanup,0.00512805251244909
94,poisson,effect::Threat,0.00462033240446449
94,poisson,effect::Impact,-0.00247054553851355
95,logit,effect::Cleanup,-0.0418257196114077
95,logit,effect::Threat,-0.0147996886710985
95,logit,effect::Impact,0.043799105616862
95,poisson,effect::Cleanup,0.00398327533027786
95,poisson,effect::Threat,0.00494746184540389
95,poisson,effect::Impact,-0.00154656085126892
96,logit,effect::Cleanup,-0.0238851926149395
96,logit,effect::Threat,-0.00475954232484702
96,logit,effect::Impact,-0.00726180673890062
96,poisson,effect::Cleanup,0.00513988134163643
96,poisson,effect::Threat,0.00343300727506667
96,poisson,effect::Impact,0.00267029874634598
97,logit,effect::Cleanup,0.0117196882729005
97,logit,effect::Threat,-0.0196411083128248
97,logit,effect::Impact,-0.0609270258864758
97,poisson,effect::Cleanup,0.00485777428195772
97,poisson,effect::Threat,0.00509351800136317
97,poisson,effect::Impact,0.00533440259512711
98,logit,effect::Cleanup,-0.062797454444872
98,logit,effect::Threat,-0.0238207902411279
98,logit,effect::Impact,0.0740777697378359
98,poisson,effect::Cleanup,0.00250222743383322
98,poisson,effect::Threat,0.00409335218992743
98,poisson,effect::Impact,0.003207388451963
99,logit,effect::Cleanup,-0.0347060449931986
99,logit,effect::Threat,-0.0273347846557472
99,logit,effect::Impact,-0.0139834860212592
99,poisson,effect::Cleanup,0.00287583863824518
99,poisson,effect::Threat,0.0038353547395014
99,poisson,effect::Impact,0.00641572259232802
100,logit,effect::Cleanup,-0.0308497830265089
100,logit,effect::Threat,-0.0220775874004439
100,logit,effect::Impact,0.178055141733343
100,poisson,effect::Cleanup,0.00387597609469307
100,poisson,effect::Threat,0.00369678874847238
100,poisson,effect::Impact,0.00292075791027641
101,logit,effect::Cleanup,-0.0316400382645967
101,logit,effect::Threat,0.00192927011492242
101,logit,effect::Impact,-0.0446604543618661
101,poisson,effect::Cleanup,0.00438458569789542
101,poisson,effect::Threat,0.0042283830510792
101,poisson,effect::Impact,0.00676349730485108
102,logit,effect::Cleanup,-0.0396483588251561
102,logit,effect::Threat,-0.0499817123703651
102,logit,effect::Impact,-0.0333877330949126
102,poisson,effect::Cleanup,0.00431731495336985
102,poisson,effect::Threat,0.00549753035251669
102,poisson,effect::Impact,0.00620734220757007
103,logit,effect::Cleanup,-0.0659066000839442
103,logit,effect::Threat,-0.00887827445361785
103,logit,effect::Impact,0.0767017026070565
103,poisson,effect::Cleanup,0.00323513523762176
103,poisson,effect::Threat,0.00440631592563889
103,poisson,effect::Impact,0.00218011800913057
